time;Flex6;GyroY;angle;filteredAngle;Offset;P
11.714999999999979;656.9254580411733;-44.329471194334126;6.23;4.46;0.26;1.24
11.747999999999978;657.5994418341837;-36.3603057158345;6.84;3.05;0.25;1.24
11.780999999999977;663.4137105585659;-27.788716874240958;12.07;2.55;0.21;1.24
11.813999999999977;651.7442376325296;-20.632755961371437;1.57;1.26;0.22;1.24
11.846999999999976;651.0176250389245;-12.521064809518315;0.92;0.25;0.23;1.24
11.879999999999976;657.7462736928253;-3.6266991470057466;6.97;0.20;0.21;1.24
11.912999999999975;650.757184052102;4.720793812544773;0.68;-0.24;0.22;1.24
11.945999999999975;652.3844771396824;12.541254881849566;2.15;-0.26;0.22;1.24
11.978999999999974;659.2565855327958;20.916295476163143;8.33;0.60;0.19;1.24
12.011999999999974;655.4728408719719;29.364827189762977;4.93;1.28;0.18;1.24
12.044999999999973;664.897549355962;36.06676077521399;13.41;2.99;0.14;1.24
12.077999999999973;647.4958835806465;45.38089724677486;-2.25;3.21;0.18;1.24
12.110999999999972;652.709852214216;53.23636758368095;2.44;4.07;0.20;1.24
12.143999999999972;660.9393923077376;58.517578519192135;9.85;5.78;0.19;1.24
12.176999999999971;667.4385609366656;66.4621265998318;15.69;8.16;0.17;1.24
12.20999999999997;666.2546136862197;71.53606531773237;14.63;10.39;0.16;1.24
12.24299999999997;671.320503383222;78.35206521948486;19.19;13.07;0.14;1.24
12.27599999999997;663.6538305624782;83.68575223536361;12.29;14.96;0.16;1.24
12.308999999999969;681.1362046232337;87.8890760788031;28.02;18.41;0.12;1.24
12.341999999999969;678.6472450129676;91.29806499679336;25.78;21.45;0.11;1.24
12.374999999999968;689.6093458004676;95.98469840775948;35.65;25.35;0.07;1.24
12.407999999999967;700.8837321877093;97.96212143883311;45.80;30.04;-0.01;1.24
12.440999999999967;693.9391715177309;99.75339070930929;39.55;33.77;-0.03;1.24
12.473999999999966;691.1339900087871;101.47048425422165;37.02;36.95;-0.02;1.24
12.506999999999966;691.955526704539;102.46872693451016;37.76;39.92;-0.01;1.24
12.539999999999965;701.3123986389442;102.81394936516277;46.18;43.49;-0.02;1.24
12.572999999999965;711.0534234522656;101.34680129605218;54.95;47.61;-0.05;1.24
12.605999999999964;703.0402975435752;101.79316045232392;47.74;50.62;-0.04;1.24
12.638999999999964;716.9700026186431;98.99735553816964;60.27;54.56;-0.06;1.24
12.671999999999963;709.16396618472;97.65824348926368;53.25;57.38;-0.04;1.24
12.704999999999963;721.727441738265;93.74549650532289;64.55;60.99;-0.06;1.24
12.737999999999962;726.9872975828717;89.29602170813449;69.29;64.65;-0.09;1.24
12.770999999999962;729.3842344736468;84.8606654601869;71.45;68.08;-0.11;1.24
12.803999999999961;730.8051895091652;80.91850131590557;72.72;71.21;-0.12;1.24
12.83699999999996;737.9591845492067;74.21040549570614;79.16;74.55;-0.15;1.24
12.86999999999996;734.9846099972624;69.06538963352618;76.49;77.17;-0.15;1.24
12.90299999999996;738.991852154109;62.769888129865734;80.09;79.73;-0.16;1.24
12.935999999999959;742.9505500230155;55.63155638340655;83.66;82.23;-0.18;1.24
12.968999999999959;730.8640506919315;49.22495720223737;72.78;83.19;-0.13;1.24
13.001999999999958;739.4034371306349;41.69602695677424;80.46;84.60;-0.12;1.24
13.034999999999958;738.9668136219004;32.26083335407867;80.07;85.58;-0.10;1.24
13.067999999999957;741.8508428109345;25.416169819520835;82.67;86.51;-0.10;1.24
13.100999999999956;738.0639070323043;16.872134644646497;79.26;86.76;-0.07;1.24
13.133999999999956;745.5504172215248;9.80991181035214;86.00;87.43;-0.07;1.24
13.166999999999955;738.3193999130342;0.22596455553699502;79.49;87.12;-0.05;1.24
13.199999999999955;745.3469728376275;-7.319718345522299;85.81;87.25;-0.05;1.24
13.232999999999954;730.8751968188305;-16.389008199063444;72.79;85.77;0.00;1.24
13.265999999999954;746.1254162123541;-23.695615857939966;86.51;85.59;-0.02;1.24
13.298999999999953;740.2116490759748;-31.92152969212157;81.19;84.65;-0.01;1.24
13.331999999999953;739.280109537865;-38.69067623399055;80.35;83.51;-0.01;1.24
13.364999999999952;739.7041900842376;-46.4347679459772;80.73;82.30;-0.01;1.24
13.397999999999952;738.0966874405649;-54.224176279899616;79.29;80.83;-0.01;1.24
13.430999999999951;735.3666087549965;-59.64032187281634;76.83;79.08;-0.01;1.24
13.46399999999995;737.4665380572267;-66.77288961705295;78.72;77.50;-0.03;1.24
13.49699999999995;714.214141028921;-71.27939201531795;57.79;73.76;0.04;1.24
13.52999999999995;730.1036521770075;-77.99867062001141;72.09;71.62;0.03;1.24
13.562999999999949;714.6918783923034;-82.38566102417326;58.22;68.13;0.07;1.24
13.595999999999949;707.5034797096721;-87.24114367420717;51.75;64.13;0.12;1.24
13.628999999999948;710.6948139696198;-89.10632295775872;54.63;60.67;0.14;1.24
13.661999999999948;710.8085484814954;-91.62924236792365;54.73;57.46;0.15;1.24
13.694999999999947;704.8406119237792;-95.05929170368847;49.36;53.91;0.16;1.24
13.727999999999946;703.2456294737611;-96.31842813222228;47.92;50.48;0.17;1.24
13.760999999999946;701.5042979316659;-96.91798537338279;46.35;47.19;0.17;1.24
13.793999999999945;699.9095335407893;-96.90957833643672;44.92;44.05;0.16;1.24
13.826999999999945;686.343295759689;-95.37355392422498;32.71;39.99;0.20;1.24
13.859999999999944;691.0124705833961;-95.33117125255039;36.91;36.72;0.20;1.24
13.892999999999944;679.9417421697735;-92.81561411723426;26.95;32.80;0.22;1.24
13.925999999999943;682.640598522442;-90.28440335789176;29.38;29.54;0.23;1.24
13.958999999999943;687.1880242668469;-87.60032001628238;33.47;27.09;0.20;1.24
13.991999999999942;679.1618648425886;-83.61889157339307;26.25;24.26;0.19;1.24
14.024999999999942;671.6418445387657;-78.98472495068312;19.48;21.13;0.20;1.24
14.057999999999941;674.5133754173418;-74.15562980394995;22.06;18.68;0.19;1.24
14.09099999999994;664.1913073357451;-68.08839472532446;12.77;15.68;0.21;1.24
14.12399999999994;672.002939673177;-62.87027789365843;19.80;13.83;0.18;1.24
14.15699999999994;660.6219217945027;-55.90559865278365;9.56;11.30;0.20;1.24
14.189999999999939;652.4116172525452;-48.932705928778745;2.17;8.43;0.24;1.24
14.222999999999939;671.1332924310302;-41.96045974741506;19.02;7.74;0.19;1.24
14.255999999999938;644.1095652757007;-34.530291902952115;-5.30;4.85;0.25;1.24
14.288999999999938;654.8164215886466;-26.64328428609196;4.33;3.40;0.26;1.24
